"Id Producto","Nombre del Producto","Descripción","Categoría","Sub Categoría","Unidad o medida","Imagen","Codificación Estandarizada GTIN (Barcode,ISBN..)","Proveedor","Stock Mínimo","Ubicación en almacen","Notas","Activo","Stockout","Existencias","Costo Promedio","Precio Promedio","Detalle de Movimientos","Organización","Cód Fabrc/Parte","Producto","Label Produto","Label Producto Warning","Fecha de Registro","Registrado por:","Sugerido de Compra","Caja Requerida","Tomas físicas","% Stock de Seguridad","Alerta de Reposición","Alerta de Codigo Duplicado","Alerta de Código duplicado","F. Solicitud","Inventario Meta","S.C.","Código QR","Codigo QR","F. Solicitud de Ficha","Codigo de Barra","Código","Related tbl_toma_fisica_details By code_scan_inner","Related tbl_transaccion_details By code_scan_inner","Existences_check",
"ID00001","Stocktracker","Plantilla de control de inventarios","Aplicativos","APPSHEET","Und","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","2","Digital","Plantilla para el control de Inventarios","Y","N","34","$8.61","$6.99","48a8182c , f6eeeb35 , f5843b18 , f26b0896 , 1bb6bf4e , b2a0f059 , 11762a8b , 5be3b684 , 84059604 , a425c53d , ba506b13 , d4ea279c , c21f9a7b , 1616fc67 , 3ec8bbab , DF1A0E4B , UNQS0080 , UNQe0080","V123456789 Sano y fresco","","","Stocktracker []","Stocktracker ","","","0","$0.00","","25%","N","N","","","3","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=ID00001&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=ID00001&code=Code128","6/25/2025 10:13:03 AM","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=ID00001&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=ID00001&code=Code128","","48a8182c , f6eeeb35 , f5843b18 , f26b0896 , 1bb6bf4e , b2a0f059 , 11762a8b , 5be3b684 , 84059604 , a425c53d , ba506b13 , d4ea279c , c21f9a7b , 1616fc67 , 3ec8bbab , DF1A0E4B , UNQS0080 , UNQe0080","Y",
"4798377","VALVULA IAC","VALVULA IAC JEEP CHEROKEE 91=>00 (04637071) 4 PINES","Auto Partes","Valvulas","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","6","","Inventario Inicial: 42.","Y","N","401","$9.94","$4.87","unf0007 , UNQS0020 , UNQe0020 , 6b3d7bf4","V123456789 Sano y fresco","4798377","","VALVULA IAC [4798377]","VALVULA IAC 4798377","6/19/2025 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","8","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=4798377&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=4798377&code=Code128","6/25/2025 10:30:04 AM","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=4798377&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=4798377&code=Code128","","unf0007 , UNQS0020 , UNQe0020 , 6b3d7bf4","Y",
"96494264","VALVULA PRESION ACEITE","VALVULA PRESION ACEITE CHEVROLET AVEO 1.6/OPTRA 1.8/CORSA 1.6","Auto Partes","Valvulas","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","5","","Inventario Inicial: 52.","Y","N","365","$3.78","$3.78","76EDD610 , D95A4E9D , UNQS0009 , UNQS0010 , UNQe0009 , UNQe0010","V123456789 Sano y fresco","96494264","","VALVULA PRESION ACEITE [96494264]","VALVULA PRESION ACEITE 96494264","6/19/2025 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","7","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=96494264&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=96494264&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=96494264&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=96494264&code=Code128","","76EDD610 , D95A4E9D , UNQS0009 , UNQS0010 , UNQe0009 , UNQe0010","Y",
"93744875","VALVULA IAC","VALVULA IAC CHEVROLET AVEO/CIELO/CORSA/OPTRA DESING","Auto Partes","Valvulas","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","7","","Inventario Inicial: 26.","Y","N","42","$5.42","$5.42","unf0008 , UNQS0021 , UNQe0021","V123456789 Sano y fresco","93744875","","VALVULA IAC [93744875]","VALVULA IAC 93744875","6/19/2025 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","9","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=93744875&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=93744875&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=93744875&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=93744875&code=Code128","","unf0008 , UNQS0021 , UNQe0021","Y",
"2L3Z/6A666/A","VALVULA PCV","VALVULA PCV FORD TRITON 5.4/FORTALEZA/EXPLORER 4.6/EXPEDIT EV-258","Auto Partes","Valvulas","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","12","","Inventario Inicial: 1.","Y","N","30","$3.78","$3.78","unf0005 , UNQS0018 , UNQe0018","V123456789 Sano y fresco","2L3Z/6A666/A","","VALVULA PCV [2L3Z/6A666/A]","VALVULA PCV 2L3Z/6A666/A","6/19/2025 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","15","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=2L3Z%2F6A666%2FA&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=2L3Z%2F6A666%2FA&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=2L3Z%2F6A666%2FA&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=2L3Z%2F6A666%2FA&code=Code128","","unf0005 , UNQS0018 , UNQe0018","Y",
"213-4411","VALVULA PRESION ACEITE","VALVULA PRESION ACEITE CHVROLET RANGER CAMION (05-12) T/V","Auto Partes","Valvulas","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","2","","Inventario Inicial: 10.","Y","N","20","$4.33","$4.33","unf0006 , UNQS0019 , UNQe0019","V123456789 Sano y fresco","213-4411","","VALVULA PRESION ACEITE [213-4411]","VALVULA PRESION ACEITE 213-4411","6/19/2025 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","3","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=213-4411&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=213-4411&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=213-4411&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=213-4411&code=Code128","","unf0006 , UNQS0019 , UNQe0019","Y",
"A11-3810011","VALVULA PRESION ACEITE","VALVULA PRESION ACEITE CHERY ARAUCA/ORINOCO (1PIN)","Auto Partes","Valvulas","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","1","","Inventario Inicial: 12.","Y","N","250","$3.24","$3.24","51D7EE9A , UNQS0070 , UNQe0070","V123456789 Sano y fresco","A11-3810011","","VALVULA PRESION ACEITE [A11-3810011]","VALVULA PRESION ACEITE A11-3810011","6/19/2025 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","2","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=A11-3810011&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=A11-3810011&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=A11-3810011&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=A11-3810011&code=Code128","","51D7EE9A , UNQS0070 , UNQe0070","Y",
"92530-60020","VALVULA PRESION ACEITE","VALVULA PRESION ACEITE CHERY GRAN TIGER/DONG FENG (83530-60020)","Auto Partes","Valvulas","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","6","","Inventario Inicial: 20.","Y","Y","2","$8.15","$8.15","unf0001 , UNQS0014 , UNQe0014","V123456789 Sano y fresco","92530-60020","Stockout","VALVULA PRESION ACEITE [92530-60020]","VALVULA PRESION ACEITE 92530-60020","6/19/2025 12:00:00 AM","Administrador","6","$48.90","","25%","N","N","","7/2/2025 1:51:58 PM","8","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=92530-60020&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=92530-60020&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=92530-60020&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=92530-60020&code=Code128","","unf0001 , UNQS0014 , UNQe0014","Y",
"7700102539","VALVULA IAC","VALVULA IAC RENAULT LOGAN/CLIO/MEGANE/SYMBOL/KANGOO","Auto Partes","Valvulas","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","2","","Inventario Inicial: 32.","Y","N","27","$8.42","$8.42","unf0002 , unf0013 , UNQS0015 , UNQS0026 , UNQe0015 , UNQe0026","V123456789 Sano y fresco","7700102539","","VALVULA IAC [7700102539]","VALVULA IAC 7700102539","6/19/2025 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","3","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=7700102539&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=7700102539&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=7700102539&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=7700102539&code=Code128","","unf0002 , unf0013 , UNQS0015 , UNQS0026 , UNQe0015 , UNQe0026","Y",
"8-92720902-0","VALVULA PRESION ACEITE","VALVULA PRESION ACEITE CHEVROLET LUV DMAX 3.5","Auto Partes","Valvulas","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","6","","Inventario Inicial: 339.","Y","N","32","$2.69","$2.69","unf0003 , UNQS0016 , UNQe0016","V123456789 Sano y fresco","8-92720902-0","","VALVULA PRESION ACEITE [8-92720902-0]","VALVULA PRESION ACEITE 8-92720902-0","6/19/2025 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","8","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=8-92720902-0&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=8-92720902-0&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=8-92720902-0&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=8-92720902-0&code=Code128","","unf0003 , UNQS0016 , UNQe0016","Y",
